sample_id,source_path,source_sha256,dataset_role,prediction_tactile_present,prediction_mask_coverage,ground_truth_tactile_present,ground_truth_mask_path,ground_truth_mask_sha256,annotation_origin,annotation_id,review_status,reviewer,reviewed_at,notes
images (1).jpg,data\samples\images (1).jpg,6e67dae7feddd956b62e7661304716d2428e578045b00b5da8571f44f003bf2c,test_only,1,0.021663411458333334,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\images (1)_jpg.png,9586c03e7a5f95469ac24c523ec1b780978050e810ce493142e21fbb44ab211a,ai_assisted,fe1025c5fe8a12273f4e912b8385fe93f54712c7d561bcdfc31587e6b74e2288,provisional,,,Imported from Labelme; pending human review
images (2).jpg,data\samples\images (2).jpg,e1b84780011a136382d1b3d1f7a8ee12800322981b7ad30852901f8dd23b6f47,test_only,0,0.0,0,data\ground_truth\masks\batches\ai-provisional-20260905-v2\images (2)_jpg.png,1156874c73c9159bc86092960e693b13a320eb386c855521c383b0b26f24b0ff,ai_assisted,5da20d6932f26b71f54983654c3164b0761cd57d2f5c80034af4c3803827ebf4,provisional,,,Imported from Labelme; pending human review
images (3).jpg,data\samples\images (3).jpg,885311125ddf800a3fb13dd000e4694d6ad5f70d4be772153c1a4d6f7e61fdc7,test_only,0,0.0,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\images (3)_jpg.png,554e56b3553bf44fdf3caf6482dd17a0bb2eaea240384839932e90489818d152,ai_assisted,7bb4fa39976ad53eec78fe824ae4c1e869c5a88dee60c0b898a46444ed393d40,provisional,,,Imported from Labelme; pending human review
images (4).jpg,data\samples\images (4).jpg,2b9980a1d88ae2a7d30fa2ec096b8cdd25428b4ed3b62296708ebc45d93ef232,test_only,0,0.0,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\images (4)_jpg.png,0183f242c4f070f28800354084c5e2df5b4af3ab64520dd5327947813274ef1b,ai_assisted,e227bc28a34efe66f232b4a7e8465fa7ac2c1cb7876d61bb8adc21d7b69f9cb0,ambiguous,,,Ambiguous provisional annotation: dark image and heavy occlusion make the foreground textured strip uncertain
images.jpg,data\samples\images.jpg,f2832bcd4534d293d95f9e3cf35026819d14130509133404198e9e5a2a5b325e,test_only,1,0.0219482421875,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\images_jpg.png,13b30472be55f717dbc39d8bc8ed28445404cf810e4dc39235a0c9e3827fe55f,ai_assisted,d89950dc2529c6b71d2bc7b6215d77bc73d53f6df17cf9567b7e12bf0286600a,provisional,,,Imported from Labelme; pending human review
jakarta-indonesia-may-142025-commuter-260nw-2627152495.webp,data\samples\jakarta-indonesia-may-142025-commuter-260nw-2627152495.webp,e1c3f5cdc19233f2999155e6c9e5f9bc44cbbf9d4f998aa6c1cfe1d195ba0b16,test_only,1,0.04146205357142857,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\jakarta-indonesia-may-142025-commuter-260nw-2627152495_webp.png,32d5c9fdb9c752931168336030e57eaf4e8a7212bb0fa49d42882e98861a7dde,ai_assisted,36068f72a7f9ddf8f34e6549b833e4375f8eaac11df221be6c7747c75e5bcbea,provisional,,,Imported from Labelme; pending human review
livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk.webp,data\samples\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk.webp,44b148487fec014ef1200546183a9ba9dbe0751bb679e91bb506ea2693162e9e,test_only,1,0.0298828125,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk_webp.png,86cf0f3f70ae756f4cc8c8d5d70143061947db782cda3edf419066092120fdb3,ai_assisted,46a8bd5488e3a33a6d92a1c036d0eb59f3d205feb3efeb093523033f90cc2119,provisional,,,Imported from Labelme; pending human review
stasiun-jaksel.webp,data\samples\stasiun-jaksel.webp,57cfab952a7f472f632064b26baf49e957571cefed6cfcd01b1073172299c419,test_only,1,0.022265625,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\stasiun-jaksel_webp.png,8005d622c7091bf2203a43f20f38280ef4b0118ebb64a158162eb8cdb3ef0540,ai_assisted,37cce75674080f8e3d203ed22c3c89029941ef32191ddf3e2b0c1f80597e23cb,provisional,,,Imported from Labelme; pending human review
stasiun_tanah_abang_-_bisniscom_dwi_rachmawati_1712569176.webp,data\samples\stasiun_tanah_abang_-_bisniscom_dwi_rachmawati_1712569176.webp,a29fbbe94c5a5274a3ed16f617ffa8f7889dfc7fd355264e3a8aa9dc268d5664,test_only,1,0.02490234375,1,data\ground_truth\masks\batches\ai-provisional-20260905-v2\stasiun_tanah_abang_-_bisniscom_dwi_rachmawati_1712569176_webp.png,ed7da4bbe04673a0732aa12da3eb5d9d92c15ae410d1f37604820d30fcaac1dc,ai_assisted,b41a6574bb245cc7ef9301e5effabc27623db5e7e27d4850f3d9204b2a96e895,provisional,,,Imported from Labelme; pending human review
sudut-stasiun-bandung.jpg,data\samples\sudut-stasiun-bandung.jpg,d78862120f35027bfc242ba1eca5b17c37dcac45e8491c58fb072b975622f169,test_only,1,0.01612548828125,0,data\ground_truth\masks\batches\ai-provisional-20260905-v2\sudut-stasiun-bandung_jpg.png,1e659aeb65d3de73f92da3839f369f64a545674de2b8747c50b9b662ffd57984,ai_assisted,a0ae351fe8cd490c1750d136aa9917887595b24cd2fc9a88bb985c6e487737e4,provisional,,,Imported from Labelme; pending human review
