sample_id,source_path,source_sha256,dataset_role,prediction_tactile_present,prediction_mask_coverage,ground_truth_tactile_present,ground_truth_mask_path,ground_truth_mask_sha256,annotation_origin,annotation_id,review_status,reviewer,reviewed_at,notes
images (1).jpg,data\samples\images (1).jpg,6e67dae7feddd956b62e7661304716d2428e578045b00b5da8571f44f003bf2c,test_only,1,0.021663411458333334,1,data\ground_truth\masks\batches\labelme-review-20260907-v1\images (1)_jpg.png,a15a2d8a8ac9236a035851cc4da7855d93aa43b44486f2d3026b8468ccc6d862,ai_assisted,9e967a040b1c9026ce7c3300c82a6f552cd2de11be7b61146638fc970a4b4182,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
images (2).jpg,data\samples\images (2).jpg,e1b84780011a136382d1b3d1f7a8ee12800322981b7ad30852901f8dd23b6f47,test_only,0,0.0,0,data\ground_truth\masks\batches\labelme-review-20260907-v1\images (2)_jpg.png,1156874c73c9159bc86092960e693b13a320eb386c855521c383b0b26f24b0ff,ai_assisted,279a5ac52276d311cde8a227168dab883bf6b6a7bf6a3c741c2595fe1639197a,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
images (3).jpg,data\samples\images (3).jpg,885311125ddf800a3fb13dd000e4694d6ad5f70d4be772153c1a4d6f7e61fdc7,test_only,0,0.0,1,data\ground_truth\masks\batches\labelme-review-20260907-v1\images (3)_jpg.png,614bd60b7b5db8dfd0e97dfd496851210d5d8bd5a1e8cb370f3726892fe3b313,ai_assisted,07018f97e77544c79e933e2bd80ab45356003988c2c4f23f1bb6fd5a26feead1,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
images (4).jpg,data\samples\images (4).jpg,2b9980a1d88ae2a7d30fa2ec096b8cdd25428b4ed3b62296708ebc45d93ef232,test_only,0,0.0,0,data\ground_truth\masks\batches\labelme-review-20260907-v1\images (4)_jpg.png,92c14b7ead785e9f974655170fbf02609afbafcf5695afb531ff20315bbaa383,ai_assisted,e4a81325b52282c91a8bd0782205630948fb3d15eb7a2f6e57dbffe5b3968b49,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
images.jpg,data\samples\images.jpg,f2832bcd4534d293d95f9e3cf35026819d14130509133404198e9e5a2a5b325e,test_only,1,0.0219482421875,0,data\ground_truth\masks\batches\labelme-review-20260907-v1\images_jpg.png,02770e5aa38ace85a4472ebf1a429b7ff7d5fc4948d377e04d24a227d0d9d299,ai_assisted,403d2770bc57c71abbe8209a2629de2275f0f284cc25a1964829529a1ba028c1,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
jakarta-indonesia-may-142025-commuter-260nw-2627152495.webp,data\samples\jakarta-indonesia-may-142025-commuter-260nw-2627152495.webp,e1c3f5cdc19233f2999155e6c9e5f9bc44cbbf9d4f998aa6c1cfe1d195ba0b16,test_only,1,0.04146205357142857,1,data\ground_truth\masks\batches\labelme-review-20260907-v1\jakarta-indonesia-may-142025-commuter-260nw-2627152495_webp.png,2a95b66388e454ab39b828999c7264340bcd11a712045f0c955d8101f49d9e25,ai_assisted,2e4d9c3239f6707e92ae50378bc2375b8a1ba1e7bab23b0fdb37547227075107,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk.webp,data\samples\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk.webp,44b148487fec014ef1200546183a9ba9dbe0751bb679e91bb506ea2693162e9e,test_only,1,0.0298828125,1,data\ground_truth\masks\batches\labelme-review-20260907-v1\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk_webp.png,10137647ad74030b02adab14442699970ed9b076a0719bdd9d03e2e853310888,ai_assisted,3a92423ff2969451275588d4d013f975d05ec22864a94a2f85bd30dde438360b,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
Peron jalur satu Stasiun Catang pada April 2026.jpg,data\samples\Peron jalur satu Stasiun Catang pada April 2026.jpg,51e8b91261adccbf8c5812df325659ddbbfd971e799d8c869e17c87abaa12e0b,test_only,1,0.04038783482142857,0,data\ground_truth\masks\batches\labelme-review-20260907-v1\Peron jalur satu Stasiun Catang pada April 2026_jpg.png,563422edd5d661bc95af0640f14bea16e979e7b2d5c537ebeea68b8e606b90b4,ai_assisted,70fe83d0329bebd4822d3c6590a5eac5641195965f8e363ed51c539aaae82359,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
Peron Stasiun ANgke.jpg,data\samples\Peron Stasiun ANgke.jpg,8f6281bd99020a5c834e1d02c10710efa116d3152f79969d37fdc01976db7b66,test_only,0,0.0,1,data\ground_truth\masks\batches\labelme-review-20260907-v1\Peron Stasiun ANgke_jpg.png,6a17607766769b36d08fc9fcc7bc906bd08952273aa1c4bb99d6b41becab7b09,ai_assisted,4a1c8cad38dfa0cfa0f99a278c1153909c6b08cd6f4ceab243b479e8db47ace2,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
Peron Stasiun Pasar Minggu 2026.jpg,data\samples\Peron Stasiun Pasar Minggu 2026.jpg,ddbd834ef8c38cd2930fca466a647b4170a5d497bff8b14642897e4726924218,test_only,1,0.05225830078125,1,data\ground_truth\masks\batches\labelme-review-20260907-v1\Peron Stasiun Pasar Minggu 2026_jpg.png,0c0c707a9cedf82dc85ea71be2a12cc23fd0cc55e662a02a8a4425900f4dd8a1,ai_assisted,2bce749539fef288f4abd7d5a8798a9789199ee6dd91e649fb69e14f9836594e,human_reviewed,Riyadh,2026-09-07T07:59:51.052870+00:00,Imported from Labelme; pending human review
